No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
3789,6.977104,10.157.66.26,2.19.172.145,TCP,66,[TCP Dup ACK 3702#3] 50089  >  443 [ACK] Seq=7922 Ack=4372663 Win=8217 Len=0 SLE=4403323 SRE=4508443,Normal,Normal,100.0%,100.0%
3790,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4508443 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3791,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4509903 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3792,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4511363 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3793,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4512823 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3794,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4514283 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3795,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4515743 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3796,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4517203 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3797,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4518663 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3798,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4520123 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3799,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4521583 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3800,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4523043 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3801,6.977206,2.19.172.145,10.157.66.26,TCP,1514,"443  >  50089 [PSH, ACK] Seq=4524503 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812]",Normal,Normal,100.0%,100.0%
3802,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4525963 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3803,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4527423 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3804,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4528883 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3805,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4530343 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3806,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4531803 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3807,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4533263 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3808,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4534723 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
